이 곡을 5년전에 이렇게 와 증말	O O DAT-B O O O
꺄아아아아 아아아아아아 아아아아 아아아아아악	O O O O
아 진짜 존나 잘생겼다 진짜 미친 거 아님 못 가면 평생 후회한다 진짜 티켓팅 제발 발제발	O O O O O O O O O O O O O O O O
얼마나 정성을 다했는지 감히 가늠할 수도 없지만 수고 많으셨고 최고입니다	O O O O O O O O O O
음악도 신나고 노래도 좋아요	O O O O
고마워 미노 먼 거리에도 내 친구야 잘 들어	O PER-B O O O O O O
와 정규라니 넘 좋다	O O O O
탕탕탕탕탕탕 할거 같았는데 진짜 탕탕이네	O O O O O
오늘따라 더 그립고 보고싶다 위너무대 넘 그립다	DAT-B O O O AFW-B O O
깡 이번 콘서트 진짜 기대된당	O O O O O
와우 이건 무조건1위 히트각이네요	O O O O
낙지 탕탕탕 생각하시는 분 없나용	O O O O O
Kapan cb bang	LOC-B O O
지금 스타일보다 이때가 심쿵인데 완전	O O O O O
많이 들어주세요 수록곡도 좋아요	O O O O
미쳤어 당연히 봐야지 덮머리 미쳤다	O O O O O
탕탕탕 아 탕타앝앝앝 타 다다다다다탕타앝아	O O O O O
얼른 콘서트에서 보고 싶어	O O O O
당신은 당신의 감정에 앉아 나는 내 왕좌에 앉아	O O O O O O O O
2022년에도 계속 이노래 듣을사람 손들어요 저요	DAT-B O O O O O
장혜영 의원 성평등 발언에 의거해서 보냅니다	PER-B O O O O O
내가 정말 너 한번 사랑한다	O O O O O
노래 좋아서 지금까지 구라안치고 1000번은 들은거 같은데 무대 이번에 처음 봄	O O O O O O O O O O DAT-B
진짜 멋지다 마이노 또 반했어	O O PER-B O O
시험 이틀 전 이 영상을 본건 진짜 최적의 선택이다	O DAT-B DAT-I O O O O O O
나는 이 클립을 약 500번 보았고 이제 클립의 일부에서 총을 사용한다는 것을 깨달았습니다	O O O O O O O O O AFW-B O O O
이게 무슨 일이야 벌써부터 너무 좋잖아 사랑해	O O O O O O O
음악도 좋고 노래도 넘좋아요	O O O O
내일이면 들을수 있다니 하루만 더 존버하면 돼 탕 하이라이트 벌스 너무 좋아서 현기증나	DAT-B O O DAT-B O O O O O O O O O
이거보면 나도모르게 즙짜게됨	O O O
이번 앨범 착장에서 가장 맘에 드는 착장	O O O O O O O
군대가기전에 하고싶은거 다 해보고가면 좋겠다	O O O O O
쇼미10 우승곡 잘들었습니다	AFW-B O O
다들 스트리밍 해주세요 좋은 곡이에요	O O O O O
우리는 블랙 핑크 반환이 필요합니다	O O O O O
6만회인줄알고 엥 이노래가 이정도밖에 안된다고 해서 다시봤더니 1	O O O O O O O O
솔직히 뭐라는지 못알아듣겠다	O O O
진짜 노래 왤케못만드냐 미노야	O O O O
갑자기 듣고 싶어 왔는데 백댄서에 홀리뱅 제인님 보인다	O O O O O PER-B PER-I O
아니진짜 렙퍼가 실력으로 싸워야지 Yg 간판떼고 붙는다고 하더니 yg기둥 뽑아온건 진짜 레전드다	O O O O ORG-B O O O O O O O
활동도 안하고 언제까지 옛날노래만	O O O O
엄청 큰 편지같다 이런게 무대고 예술이지	O O O O O O
아 존나 설레서 뒤졌다 다시 살아날듯	O O O O O O
퍼스널컬러 개나 주라고해	O O O
군대 가지 마십쇼 진짜로	O O O O
어제 전시에서 그림이랑 보고 듣는거랑 티져로 보고 듣는거랑 또 다른 느낌	DAT-B O O O O O O O O O O
돌아 오 겠 죠 기다 릴 게	O O O O O O O
진짜 너무 좋다 무슨 몇년이 지나도 이노래 나온날 생생하게 기억나고 이노래 넘 조음 안질려 증말	O O O O O O O O O O O O O O O
진짜 대박 노래	O O O
GRACIAS LOVE ME LOVE ME POR EXISTIR	AFW-B AFW-I AFW-I AFW-I AFW-I AFW-I AFW-I
돔황챠 챠챠챠챠챠챠챠 돔황챠	O O O
미노야 나 성공했다 간다간다간다 개신나	O O O O O
세상 최고 간지 마이노 많이 많이 활동하자 요즘 눈이 힐링된다	O O O O O O O O O O
강김송이완전체빨리보고싶다	PER-B
나만 찬혁이가 잘생기게 보이는거	O PER-B O O
I 나는 모든 노래 블랙 핑크가 bts이 사랑을 죽이는 것보다 더 나은 방법을 좋아이 사랑은 무작위로 여전히 그 멋진 메신저 쓰기 한국어 BC나는 그 블랙 핑크가 무슨 말을 알고 싶어	O O O O AFW-B AFW-I O O O O O O O O O O O O O O O O O O AFW-B AFW-I O O O O
yg딱지를 뗀게 아니라 떼옴	O O O O
계속 머릿속에서 딜리버리쿠팡맨 이러고 있음	O O O O O
Happy birthday Jennie	O O PER-B
이러다가 문득 생각나서 듣는데 세상에 가사가 하나부터 아홉까지 다 너무 딱 들어맞는다는	O O O O O O O O O O O O
아 진짜 기대된다 빨리 듣고싶어	O O O O O
오빠 메이크업 넘모 진해	O O O O
탕탕탕탕 탕탕탕 탕탕탕 타타 타타타 탕	O O O AFW-B AFW-I AFW-I
스테이크를 잘라서 입에 넣어준대	O O O O
낙지 탕탕탕 검색했더니 이게 나오네	O O O O O
2 13 나의 자지를 보여줬지	O O O O O
초6때 여자애들때매 듣던 노래인데 성인이 되고 다시 들어보니 노래가 완전 다른느낌으로 와닿네	O O O O O O O O O O O O
1 46 여기 승윤이 화음 너무 좋다	O O O PER-B O O O
최상의 너무 멋져 너무	O O O O
아 노래 듣는데 왜 눈물나냐 진짜	O O O O O O
티저부터 대박 진짜 뮤비 대박일줄 알았쥐 노래 대박일줄 알았쥐	O O O O O O O O O
Iisa is most beautiful girl	ORG-B O O O O
이거 뭔데 셤기간에 발표해에에에	O O O O
늘 행복하고 부자되십시오	O O O
앗 죄송합니다 너무 귀여워	O O O O
비트가 미쳤는데 마이노 또 일 낸다	O O PER-B O O O
2년 후 당신은 이 명작을 듣는 전설이 되었습니다	DAT-B DAT-I O O O O O O
love blekpink	O O
카메라 무빙 왜그래	O O O
LISTENING TO PIECES전시를 4번도 방문했는데 정말 감동스럽고 인상이 깊은 전시였어요	EVT-B EVT-I EVT-I O O O O O O O
오빠 나 대입 면접 때문에 못가요 미칠것 같아요 그래도 첫콘 홧팅	O O O O O O O O O O O
당신은 영어를 알고 있습니까	O O O O
나는 왜 이노래만 들으면 설레지	O O O O O
OMG 오마갓	ORG-B ORG-B
제가 가장 좋아하는 아이돌 이 노래는 중독성이 강하고 매우 아름답습니다	O O O O O O O O O O
댓글 1만 개 얼마 안 남았다 탕탕탕	O O O O O O O
승윤님 노래 너무 좋아요	PER-B O O O
숨이 가뽜쥐좌나 시야 쪼바쥐좌느아 하	O O O O O
자신이 쓸 수 있는 최고의 수단을 썼고 대중의 심리를 자극할 수 있는 가사를 씀	O O O O O O O O O O O O O O
Tang tang tang tang tang Juice juice juice juice Peace yohw	O O O O O O O O O O O
이 밑에 영상이 낙지 탕탕탕이여서 개 터졌넼	O O O O O O O
못 떠나고 뭘 하고 있는 건지	O O O O O O
열심히 공부하고 음악을 들으면 동기부여가 됩니다	O O O O O O
역시 갈갈갈 다시 보고 온사람은 나만이 아니군	O O O O O O O
이 노래는 전설이지만 너무 추가됩니다	O O O O O
그리고 노래는 또한 매우 흥미롭습니다	O O O O O
굉장하고 모든 노래가 놀랍다	O O O O
500M views next for Lisa s birthday presenttt	O O O O ORG-B O O O
열일해줘서 너무 고마워 미노야 인서들이 더 잘할게	O O O O O O O
적그리스도 저불법의사람멸망의아들을보라 그가오기전까지 예수재림은없느니라	PER-B O O PER-B
400	O
듣다 보면 어느새 나도 모르게 탕탕탕탕 탕탕탕탕 탕탕탕탕 탕탕탕	O O O O O O O O O
준비 장전 그리고 발사 탕 탕 탕 탕	O O O O O O O O
메타몽 이히 이거 누가 넣은거야 진짜 너무 좋아	PER-B O O O O O O O
가장 소중하고 아끼고 사랑하는 곡	O O O O O
여기까지는 이해하는데 메이크업은 진짜 안어울렸다	O O O O O
한국어 댓글 찾다가 지쳐서 그냥 댓글 남기는데 그냥 노래 좋다 아 정확히는 이 노래 나왔을 때 그때 내가 기억이남 그때 어떤감정으로 살아왔는지 이노래 분위기가 그때 내감정의 분위기임	O O O O O O O O O O O O O O O O O O O O O O O O O O O
왜 다들 도망쳐로치거나 도망갈갈로 치는데	O O O O O
노래도 너무 좋고 뮤비도 너무 재밌을 거 같아 아 빨리 7일되면 좋겠다	O O O O O O O O O O DAT-B O
이번에 제대로 대박나자 마이노	O O O AFW-B
에 분명 다르다 후 연휴때 후 연휴때 저 셋 배 거 같아 그만보렬고 쳐 파 추 찰 이 정도 주고 있었습니다	O O O O DAT-B O O O O O O O O O O O O O O O O
이거 보고 나영석 대파 쫑쫑 써는 거 보면 같은 사람인가 혼란온다	O O PER-B O O O O O O O O
이건 몇년을 봐도 질리지가 않고 계속 소름 돋네	O O O O O O O O
결국 쇼미10 프로듀서하고 있고 서사 갓벽	O AFW-B O O O O
온리안을 왜 말일까지만 하는거죠 영구적으로 남겨둡시다	O O O O O O
나는 당신의 목소리를 듣고 그리워	O O O O O
얼마나 많은 전설이 이것을 듣고 있는지 보자	O O O O O O O
선물꾸러미 끌고갈때 빵터짐 음악은 몇번 더 들어볼께요 해드셋끼고 제대로	O O O O O O O O O
전시회 진짜 기대 이상으로 너무 완벽했고 새벽부터 일어나서 전시회 하나 보려고 3시간에 걸쳐 갔는데 진짜 피곤은 개뿔 너무 행복했어요 미노오빠 진짜 너무 고생 많았고 오빠가 실물로 보는 팬 아니여도 응원하는 사람들이 많다는 거 꼭 잊지 말고 이번에 진짜 고생 많았어요 노래도 너무 잘 듣고 있고 입술 찢어지면 음식 먹을 때 말할 때 진짜 아픈데 고생 많이했다 무리 하지 말고 고마어 미노오빠 오빠 덕분에 통장은 탈탈 털리지만 매일매일이 행복해	O O O O O O TIME-B O O O O TIME-B O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O PER-B O O O O O O O
하이킥3에서 통기타 치면서 크리스탈 머시기 하던 노랫가닥이 아직도 기억남 지금도 깔쌈하게 멋지네	AFW-B AFW-B O PER-B O O O O O O O O
멋있어 너 존 늎 며모 뇨 노노 눂 시면이거지 도는데에에	O O O O O O O O O O
외국인들도 갈갈갈갈 이러고 잇음	O O O O
2022년이오기전에 들으러온사람들 공감	DAT-B O O
그들은 최고 다	O O O
정말 너무 보고 싶다	O O O O
미노 진짜 열심히 사는거 우리가 다 안다	PER-B O O O O O O
운전자분 졸음운전 할 일은 없겠다	O O O O O
이거 근데 라이브인가요	O O O
이거지 아이돌 래퍼가 아니라 진짜 래퍼들	O O O O O O
가끔은 스스로에게 묻곤 하는데	O O O O
미안해 마이노 학생이라서 아직 백신을 맞기가 불안하기도하고 지방러라 다음 대면 콘서트 때는 앞자리가서 볼께	O O O O O O O O O O O O O O
사진들 너무 많아 갖고싶다	O O O O
그래도 이제 별로 안 남았으니깐 조금만 버티자	O O O O O O O
가즈아아아 마이노	PER-B O
그냥 너무 좋다 가사가 너무 좋다 그냥 멋있어	O O O O O O O O
응원법 수육 수육 어때여 탕수육해가지고	O O O O O
진짜 지누 눈에 우주 담은 게 맞는듯	O PER-B O O O O O
나는 당신의 목소리를 듣고 그리워	O O O O O
끝까지 내 심장을 훔쳐가는구나	O O O O
안무랑 표정이랑 다 너무 귀여워	O O O O O
이노래를드르면 이말이 떠오르죠	O O O
당신이 그것을 되찾기를 바랍니다 나는 당신을 사랑합니다	O O O O O O O
아주 좋아 인도네시아에 있어도 나는 ros를 좋아한다	O O LOC-B O O O O
사랑해 마이노야	O PER-B
마이노	PER-B
장미꽃 떨어질때 번지는 cg 너무 이쁘다	O O O O O O
진짜 YGE 1년 넘게 컴백 안한지 장난아님 2032년 컴백 하실래요 하하하하	O ORG-B DAT-B O O O O DAT-B O O O
혹시 제 블로그에 좀 퍼가도 될까요 문제시 삭제하겠습니다	O O O O O O O O
아니 나는왜 탕탕탕 할때 낙지가 생각나냐고	O O O O O O
미노만의 음악세계를 점점 구축해가는 느낌이라 너무 좋아	PER-B O O O O O O
지금은 거의 기본 2명 많으면 4명 피처링 해서 누가 메인인지 모르겠어	O O O O O O O O O O O
탕 이번곡도 최고네	O O O
야이병신아 티좀 내지마 마음 단단히 먹어	O O O O O O
마지막 문자 내용 내일 오후5시 바에서 진짜 나와야 돼 할말 있어 이모티콘 안보임	O O O DAT-B TIME-B O O O O O O O O
현기증 나게 개잘만들었네 두긍두긍 두두드굳두	O O O O O
탕 탕 탕 MINO	O O O ORG-B
썸네일 보고 n번째 기어들어오는 사람	O O O O O
노래도완전꽂히고 뮤비도너무재밌고멋있고다함 그래서계속보고싶어짐 송미노이번활동화이팅	O O O O
이런거 보고 눈물 짜는 내가 신기하다	O O O O O O
오랜만에 노래 들으면서 눈물남	O O O O
가사 하나하나가 와 닿는 곡이다 진짜로	O O O O O O
자랑스러운 내 가수 항상 좋은 노래 들려줘서 고마워요	O O O O O O O O
솔로콘 무지막지하게 추카해 너무 기대된다 우리 꼭 대면으로 만나자	O O O O O O O O O
그녀의 비디오는 너무 웃기고 귀엽다 BLACK pink	O O O O O O O
얼른 1000만회 가자	O O O
제가 사랑하는거 알죠 지금 티켓팅 연습 게임하는데	O O O O O O O
아름다운 노래 잘 봤습니다	O O O O
우리가 누구를 소개하고 싶어요 하나님께요 근데 호감이 있어야 전능하시고 멋있는 아버지께 그 사람을 얘기하겠잖아요 잘되게 해 주세요 가 먼저인거 같아요 그후에 불신자와 원수 악마를 벌해 주시라고 기도하구요 기도는 하나님께 말하는 거라서 소개라는 표현을 쓴거에요	O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O PER-B O O O O O
또 조은노래로 차트도 씹어먹고 1위도 하자	O AFW-B O O O O
1000만 전에 와드 박고 갑니다	O O O O O
맞아 윈 정말 눈물버튼이야 그리고 이 프리퀄도	O O O O O O O
와 진짜 상상 이상의 결과다	O O O O O
김지누 뽀그리 머리 너무 귀엽네	PER-B O O O O
Happy Birthday Jennie	O O PER-B
Let s go for 10M today 탕	O O O O O O O
로는두번 노래가더좋앗 습니다	O O O
megus는 많은 것을 가지고 내 이름은 carla이고 나는 깜박임	PER-B O O O O O PER-B O O
미쳣다 미쳣어 이번 앨범도 너무 좋다 쾌락의 정점이다 미친 진짜 너무 좋다	PER-B PER-B O O O O O O O O O O
400장면 축하합니다 엘리사 Aa의 인사사우디아라비아	O O PER-B O O
5 38 재 누구야 미노렉	O O AFW-B AFW-B AFW-B
진짜 나쁜뜻이 아니라 궁금해서요	O O O O
flowers again oh 나는 그것을 사랑	O O O O O O
미치겠다 너무 기대된다 어떡해	O O O O
2년만의 오프콘서트 간다	DAT-B O O
사랑해요 매력적인	O O
이 글을 보신분들은 절대 코인하지 마 요	O O O O O O O
hi sis oh yes sis jisoo 팬이에요	O O O O O PER-B O
송마이노 파트 너무 좋고	O O O O
지금까지 듣고 있는 좋은 노래나는 당신의 이름을 모르지만 노래를 사랑 해요	O O O O O O O O O O O
덕분에 행복해질거 같아요	O O O
내가 울고에요 이렇게 좋은 노래가 왜 이제 야 알라 위너 야 아프로 꽃길만 가자	O O O O O O O O PER-B PER-I O AFW-B AFW-I AFW-I
Lisa 당신은 세상에서 가장 아름다운 소녀입니다	O O O O O O
당신의 음악은 정말 저를 흥분시킵니다	O O O O O
이제 진짜다 진짜	O O O
Happy birthday Jennieyaaa	O O LOC-B
와이겨꼭봐야되는데에에에	O
1 17 코앞에 두고도 못 알아보게끔 두리번 하다가 포기하게	O O O O O O O O O
I love you queens	O O O O
나는 이 밴드와 밴드의 소녀들을 사랑합니다	O O O O O O
뮤비 진짜 이쁘게 잘만들어	O O O O
낙지탕탕탕	O
우리 남친 왜 그렇게 잘생겼어 멋지고 사랑해 CAPTAIN	O O O O O O O O
낙지 탕탕탕 그다음사람은 낙지탕탕탕탕탕탕탕	O O O O
나는 Hotel Transylvania에서 당신을 알고 있습니다	O ORG-B ORG-I O O O
내 zazy를 보여줬지 후	O O O O
코맹맹 승후니도 귀엽다	O PER-B O
진심으로 뭐 이딴곡 내고 프로듀서래냐 아 맞다 밀릭 키드밀리도 보이콜드도 나왔지 충분하다 자격	O O O O O O O PER-B PER-I PER-B O O O
이 그룹이 해산되지 않기를 바랍니다	O O O O O
목소리가 너무 아름다워 Lisa 힘내세요 목소리가 좋습니다	O O O PER-B O O O
도 망가 가가가가가가가가각	O O PER-B
블랙 핑크 멤버 솔로 곡이 곤경에 처했을 때 진정되는 것을 들었을 때 인생이 얼마나 중요한지 이해할 수 있도록 도와주었습니다	PER-B PER-I O O O O O O O O O O O O O O O O O
왘 뮤비도 아닌데 3억뷰가 넘었네	O O O O O
마이노 연애 하는갑네 아이고 축하혀 미노 성격상 이유가 있으니 냈을 노래 맘껏 연애혀	PER-B O O PER-B O PER-B O O O O O O O
5년전 잼민이시절 노래방에는 이노래뿐이었다	DAT-B PER-B O O
나는 모든 사람을 좋아하고 나는 모두를 매우 사랑한다	O O O O O O O O
아 웃는거 개설레 티켓팅 성공한다	O O O O O
짱짱 제니 리사 로지 제슈아 너무 멋져요 나는 이 노래를 좋아한다 그리고 Paisie Jenny와 Rex Jiswa	O PER-B PER-I PER-I PER-I O O O O O O O PER-B PER-I PER-B PER-I
오빠들이 여자들하고 뽀뽀하는건 슬프지만 내가 간섭할 일이 아니다	O O O O O O O O
딱지따위 뭐 상관없지 간판을 데려왔는데	O O O O O
기다리는 기분 이런 기분이구나	O O O O
나 갖고 장난 치세용 용재님	O O O O PER-B
나는 그들을 사랑한다 0	O O O O
마지막 처럼 너뭔데자꾸생각나 못하고 지금도 수헙그냥 해봐도 대학교 그냥 수헙 특수반 자이름 말해 남자가약오기 으로선생님남자약으로	O O O O O O O O O O O O O O O
아니 진짜 제발 음원 내달라고	O O O O O
1md리뷰 축하드립니다	O O
노래 너무 좋아요 와우	O O O O
자꾸 입에서 준비 장전 그리고 발사 탕탕탕탕 탕탕탕탕 중독되어 버림 이번 뮤비 진짜 잼나다 자꾸자꾸 또 보고싶어지네	O O O O O O O O O O O O O O O O O
오랜만에 보니깐 옛날에 아빠가 왜 이렇게 오끼 도끼 요 라고해 도끼노래야 라고 했던거 기억난닼	O O O O O O O AFW-B O O AFW-B O O O
이게 잔소리 부른 사람이랑 동일인물이라고	O O O O O
안녕 Queen s Indian 깜박임은 u 4를 기다리고 있습니다 pls는 인도에 와서 비디오 또는 vlog pls를 만듭니다	O AFW-B AFW-I AFW-I O AFW-B AFW-I O O O LOC-B O O O O O O
좋은 노래 들려줘서 너무 고마워 탕 대박나자 마이노 대박나자 수고 정말 많았어 지금도 앞으로도 계속 사랑해 우리 모두 행복길만 걷자	O O O O O AFW-B O AFW-B O O O O O O O O O O O O
뮤비 감각이 미쳤네요 뮤비의 아름다움에눈물 흘리고 갑니다	O O O O O O O
당신을 사랑해요	O O
노래도 너무 좋고 너무 좋았어요	O O O O O
진짜 너무가고싶다	O O
치면 뭐나올까했는데 이게나왔네	O O O
송토끼쨩 많관부도 알어 내새끼 귀여워 죽겠다 진짜	O O O O O O O
그녀는 의심할 여지 없이 여왕이다	O O O O O
솔로 1집 잘듣고있어요 곧 2집도 만날수 있길	O O O O O O O
이 비디오의 모든 것은 완벽합니다	O O O O O
호동이형 탕탕탕 생각난다	PER-B O O
솔직히 타일러 플라워보이와 겹치는 요소가 너무 많지 않나요 칸예의 MBDTF의 요소도 보이고요 누가봐도 이건 좀 영향을 받아서 오마주 했다 이런것도 아니고 뭐지	O PER-B PER-I O O O O O PER-B O O O O O O O O O O O O O
aaaaa 이노래 푹 빠졌어요 아주좋아요 축하해요 리신하	AFW-B O O O O O PER-B
놀라운 인도에서 온 사랑	O LOC-B O O
춤추는게 너무 멋있어 보여서 눈을 뗄 수가 없다	O O O O O O O O
Eh 에서 부터 지리게 만드노 태양	O O O O O LOC-B
너희들은 최고입니다 그냥 당신의 꿈과 자신에 초점을 맞춥니다	O O O O O O O O
브금좀 개안어울림	O O
오늘은 문득 그노래 듣고 싶어 찿아왔죠 왠지 가슴이 몽글몽글 해지는것이	DAT-B O O O O O O O O O
오랜만에 왔는데 댓글에 한글이 하나도 안보이는구나	O O O O O O
아 미친 레전드 곡 나올 듯	O O O O O O
미노 항상 열일해줘서 고마워	PER-B O O O
남돌이나 여돌이나 다 거기서 거기인것 같음	O O O O O O
벌써 어리둥절 할 승유니 눈에 보이구요 오늘부터 송토끼쨩 갑니다	O O O PER-B O O DAT-B PER-B O
요즘은 왤케 이런 띵곡이 안나와냐	O O O O O
라이브 다들린다 와 대단하네	O O O O
나는 당신 모두를 사랑합니다	O O O O
노래랑 뮤비 미쳤다	O O O
이게 신서유기 낙지탕탕탕을 듣고 나쁘지 않은데 라고 생각해서 나온 그곡인가요	O AFW-B AFW-I O O O O O O O
나 조수석 타도되냐 타고싶다	O O O O
MINO REC 기다렸는데 역시 너무 좋다	ORG-B ORG-I O O O O
아이유	PER-B
무대장인 탕탕탕탕 자꾸 생각나	O O O O
6년째 듣고 있었는데 제목이 끼 좀 부리지마가 아니라 끼부리지마 인거 첨 알았다 소름이다	DAT-B O O O O O O O O O O O O
탕탕탕할때 끊기는 표현 지려요	O O O O
진짜 미친 기록 지상파 5일	O O O O DAT-B
와 미쳤다 또 다른 컨셉	O O O O O
진짜 어제 전시회 가서 신곡 듣고 미노 보고	O DAT-B O O O O O O
걸그룹 노래중에 이런 멋진 비트를 보여주는 노래가 또 있을까 싶다	O O O O O O O O O O
항상 빛나는 나는 그의 음악을 사랑	O O O O O O
아 이런거 보면 더 궁금하다고 아 아아아아아	O O O O O O O
친구가 맥락없이 가가가가가가 하길레 들으로왔는데 너무좋네요	O O PER-B O O O
어우 나 왜케 옛날꺼 디지게나 찾아보네 개섹시하다 진짜 출구없는 남자	O O O O O O O O O O
첨에 듣자마자 뭐랑 비슷하다 했는데 upsahl drugs 드뎌 생각남	O O O O O O O O O
HAPPY BIRTHDAY JISSU 정말 많이 사랑해	PER-B PER-I PER-I O O O
내일부터 겁쟁이가 아닌 성숙해진 나로	DAT-B O O O O
OUR YOUTH WITH WINNER 7년째 널좋아해	AFW-B AFW-I AFW-I AFW-I DAT-B AFW-B
I want some money	O O O O
매번 들을때 마다 힘이 됩니다	O O O O O
와 좋은 곡 너무 많다 빨리 앨범 나와라	O O O O O O O O
365 밴드버전 빨리 콘 가고싶다	O O O AFW-B O
마이노 내가 가장 사랑하는 예능인이자 아티스트	PER-B O O O O O
왜인지 잘 꾸미고 돈 많은 이모 같아	O O O O O O O
표현에는 제한이 없는 거 같애	O O O O O
너무 귀여워서 숨이 안 쉬어지는데	O O O O O
2 46 후니 이히 하는데 미노 키듀키듀 애교 강김송이 다 기엽자나	O O PER-B O O PER-B PER-I O PER-B O O
정말 멋지네요 계속해서 성공하시길 바라요 3	O O O O O O
BLACK AND PINK IS BLACK PINK	O O O O O O
6년이 지난 2022년에 온 사람 나뿐인가	DAT-B DAT-B DAT-I O O O
이 영상을 난 이제야 처음봤네 이게 힙	O O O O O O O
기말고사 6일 전에 본 내 잘못이탕탕탕 탕	O DAT-B DAT-I O O O O
이봐 우리는 당신의 노래를 그리워했고 당신도 당신의 노래와 새로운 노래를 언제 볼 수 있습니까 너무 아름다워요	O O O O O O O O O O O O O O O O
시작부터 너드미 엇박으로 훅	O O O O
솔콘 건강하게 만나요	O O O
목소리 개쩐다 아니 그냥 와	O O O O O
아 킹받는다 이거 2 58	O O O O O
무진형이 먼저 떠오르네	O O O
갑자기 시간이 너무 안간다	O O O O
최정상급 아이돌 래퍼만이 할 수있는 무대	O O O O O O
내가 내일 틀릴 문제 갯수만큼 노래 잘 되면 좋겠다	O DAT-B O O O O O O O
지누야 승훈아 나 기다리고 있어 빨리 와	PER-B PER-B O O O O O
와 비트까지 거의 혼자 다했네	O O O O O
100M 200M 300M 400M 500M 600M 700M 800M 900M 1B	O O O O O O O O O O
당신이 놀라운 하루를 바랍니다	O O DAT-B O
Guys keep tr	O O O
이건 되는 비트야 탕 성공적인 컴백 미리 추카해요	O O O O O O O O
마이노 역주행 가자	PER-B O O
아니 진심 제발 진짜 제발 이거 권지용 노래 내주면 안됨 개좋음 진짜 진심이야 제발	O O O O O O PER-B O O O O O O O
그래서 저는 그냥 한국어 키패드를 사용했습니다 i actually know english but i also know how to read and write korean so i just used my korean keypad	O O O O O O O O O O O O O O O O O O O O O O O O O O O
팀 그레이노마 자주 자주 함께해줘 사랑스럽다	PER-B PER-I O O O O
그 건 그 렇고 당신의 솔로는 아름답 습니다	O O O O O O O O
나는 Hotel Transylvania에서 당신을 알고 있습니다	O ORG-B ORG-I O O O
나는 Lisa와 Jennie를 사랑하고 노래는 훌륭합니다	O PER-B PER-B O O O
한달안에 20번은 본 것 같음	DAT-B O O O O
탕탕탕탕 벌써 중독됐따 이번 앨범 준비하느라 너무 수고많았고 많은 사람들 마음에 탕 하고 꽂혔으면 좋겠다 내가수 항상 자랑스러워 진짜루	O O O O O O O O O O O O O O O O O O O
솔직히 이건 음원으로 내줘야한다	O O O O
콘서트만 기다리고 있어 티켓팅 성공해야 하는데 우리 유니 빨리 보고싶다	O O O O O O O O O O
나는 밴드를 좋아한다블랙 핑크제일	O O O O
Pretty savage	O O
마이노가 사랑하는 방법인가 심장 떨린다	PER-B O O O O
3집 풀 앨범 축하해 100집까지 함께 하자	O O O O O O O
